id	dependID	建筑名	等级	最大值	游客产出	建筑网格信息	信息类型	建筑Spine资源名	建筑类型	前提建筑1	范围图片	影响范围	游客降低	愉悦度上升	回收CD时间	前提建筑1等级	前提建筑2	愉悦度需求	金钱需求	升级需求物品1	升级需求1	升级需求物品2	升级需求2	升级需求物品3	升级需求3	升级需求物品4	升级需求4	产出物品1	产出1数值	产出物品2	产出2数值	产出物品3	产出数值3	升级时间（单位：秒）	作用描述	作用数值	分类	维持人数需求	建筑图片	文字描述
11	1	building_jz_100_10	11	1	0	4,4	1	jz_100_10	1	10	0	0	0	0	0	3	0	6650	35490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39360	0	0	0	0	jz_100_10	0
12	1	building_jz_100_11	12	1	0	4,4	1	jz_100_11	1	11	0	0	0	0	0	3	0	11950	56940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63000	0	0	0	0	jz_100_11	0
13	1	building_jz_100_12	13	1	0	4,4	1	jz_100_12	1	12	0	0	0	0	0	3	0	21500	91380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100800	0	0	0	0	jz_100_12	0
14	1	building_jz_100_13	14	1	0	4,4	1	jz_100_13	1	13	0	0	0	0	0	3	0	38700	146640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161280	0	0	0	0	jz_100_13	0
15	1	building_jz_100_14	15	1	0	4,4	1	jz_100_14	1	14	0	0	0	0	0	3	0	69650	235320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258060	0	0	0	0	jz_100_14	0
16	2	building_jz_101_0	1	1	0	4,4	0	jz_101_0	0	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	jz_101_0	0
17	3	building_jz_102_0	1	1	5	4,4	2	jz_102_0	2	2	0	0	0	0	0	2	0	0	400	0	0	0	0	0	0	0	0	item_001	20	0	0	0	0	180	0	0	0	0	jz_102_0	0
18	3	building_jz_102_1	2	1	10	4,4	2	jz_102_1	2	4	0	0	0	0	0	4	17	0	1800	0	0	0	0	0	0	0	0	item_001	50	0	0	0	0	810	0	0	0	0	jz_102_1	0
19	3	building_jz_102_2	3	1	15	4,4	2	jz_102_2	2	5	0	0	0	0	0	5	18	0	4530	0	0	0	0	0	0	0	0	item_001	125	0	0	0	0	6000	0	0	0	0	jz_102_2	0
20	3	building_jz_102_3	4	1	20	4,4	2	jz_102_3	2	8	0	0	0	0	0	8	19	0	11430	0	0	0	0	0	0	0	0	item_001	313	0	0	0	0	15000	0	0	0	0	jz_102_3	0
21	3	building_jz_102_4	5	1	25	4,4	2	jz_102_4	2	10	0	0	0	0	0	10	20	0	28860	0	0	0	0	0	0	0	0	item_001	783	0	0	0	0	37500	0	0	0	0	jz_102_4	0
22	4	building_jz_103_0	1	1	6	4,4	2	jz_103_0	2	2	0	0	0	0	0	2	0	0	450	0	0	0	0	0	0	0	0	item_001	21	0	0	0	0	360	0	0	0	0	jz_103_0	0
23	4	building_jz_103_1	2	1	10	4,4	2	jz_103_1	2	4	0	0	0	0	0	5	22	0	2000	0	0	0	0	0	0	0	0	item_001	53	0	0	0	0	2500	0	0	0	0	jz_103_1	0
24	4	building_jz_103_2	3	1	15	4,4	2	jz_103_2	2	5	0	0	0	0	0	6	23	0	5220	0	0	0	0	0	0	0	0	item_001	133	0	0	0	0	6510	0	0	0	0	jz_103_2	0
25	4	building_jz_103_3	4	1	21	4,4	2	jz_103_3	2	8	0	0	0	0	0	9	24	0	13680	0	0	0	0	0	0	0	0	item_001	333	0	0	0	0	16920	0	0	0	0	jz_103_3	0
26	4	building_jz_103_4	5	1	27	4,4	2	jz_103_4	2	10	0	0	0	0	0	11	25	0	35970	0	0	0	0	0	0	0	0	item_001	833	0	0	0	0	43980	0	0	0	0	jz_103_4	0
27	5	building_jz_104_0	1	1	5	4,4	2	jz_104_0	2	2	0	0	0	0	0	3	0	0	800	0	0	0	0	0	0	0	0	item_001	30	0	0	0	0	330	0	0	0	0	jz_104_0	0
28	5	building_jz_104_1	2	1	11	4,4	2	jz_104_1	2	4	0	0	0	0	0	5	27	0	2100	0	0	0	0	0	0	0	0	item_001	75	0	0	0	0	2100	0	0	0	0	jz_104_1	0
29	5	building_jz_104_2	3	1	15	4,4	2	jz_104_2	2	6	0	0	0	0	0	7	28	0	6330	0	0	0	0	0	0	0	0	item_001	188	0	0	0	0	6300	0	0	0	0	jz_104_2	0
30	5	building_jz_104_3	4	1	21	4,4	2	jz_104_3	2	8	0	0	0	0	0	9	29	0	19080	0	0	0	0	0	0	0	0	item_001	470	0	0	0	0	18900	0	0	0	0	jz_104_3	0
31	5	building_jz_104_4	5	1	28	4,4	2	jz_104_4	2	11	0	0	0	0	0	12	30	0	57540	0	0	0	0	0	0	0	0	item_001	1175	0	0	0	0	56700	0	0	0	0	jz_104_4	0
32	6	building_jz_105_0	1	1	0	4,4	0	jz_105_0	0	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	jz_105_0	0
33	7	building_jz_106_0	1	1	10	4,4	2	jz_106_0	2	2	0	0	0	0	0	3	0	0	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	jz_106_0	0
34	7	building_jz_106_1	2	1	20	4,4	2	jz_106_1	2	6	0	0	0	0	0	7	33	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	jz_106_1	0
35	7	building_jz_106_2	3	1	30	4,4	2	jz_106_2	2	10	0	0	0	0	0	11	34	0	54600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81000	0	0	0	0	jz_106_2	0
36	8	building_jz_107_0	1	1	0	4,4	3	jz_107_0	3	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	jz_107_0	0
37	8	building_jz_107_1	2	1	5	4,4	3	jz_107_1	3	1	0	0	0	0	0	2	36	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	jz_107_1	0
38	8	building_jz_107_2	3	1	7	4,4	3	jz_107_2	3	3	0	0	0	0	0	4	37	0	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3510	0	0	0	0	jz_107_2	0
39	8	building_jz_107_3	4	1	10	4,4	3	jz_107_3	3	4	0	0	0	0	0	5	38	0	2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6840	0	0	0	0	jz_107_3	0
40	8	building_jz_107_4	5	1	13	4,4	3	jz_107_4	3	6	0	0	0	0	0	7	39	0	4830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13350	0	0	0	0	jz_107_4	0
41	8	building_jz_107_5	6	1	15	4,4	3	jz_107_5	3	7	0	0	0	0	0	8	40	0	9480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26040	0	0	0	0	jz_107_5	0
42	8	building_jz_107_6	7	1	18	4,4	3	jz_107_6	3	8	0	0	0	0	0	9	41	0	18660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50790	0	0	0	0	jz_107_6	0
43	8	building_jz_107_7	8	1	22	4,4	3	jz_107_7	3	9	0	0	0	0	0	10	42	0	36750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99030	0	0	0	0	jz_107_7	0
44	8	building_jz_107_8	9	1	25	4,4	3	jz_107_8	3	10	0	0	0	0	0	11	43	0	72450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193110	0	0	0	0	jz_107_8	0
45	8	building_jz_107_9	10	1	30	4,4	3	jz_107_9	3	12	0	0	0	0	0	13	44	0	143100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376560	0	0	0	0	jz_107_9	0
46	9	building_jz_108_0	1	1	5	4,4	3	jz_108_0	3	1	0	0	0	0	0	2	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	jz_108_0	0
47	9	building_jz_108_1	2	1	10	4,4	3	jz_108_1	3	4	0	0	0	0	0	5	46	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3900	0	0	0	0	jz_108_1	0
48	9	building_jz_108_2	3	1	15	4,4	3	jz_108_2	3	5	0	0	0	0	0	6	47	0	8790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9750	0	0	0	0	jz_108_2	0
49	9	building_jz_108_3	4	1	20	4,4	3	jz_108_3	3	8	0	0	0	0	0	9	48	0	22170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24390	0	0	0	0	jz_108_3	0
50	9	building_jz_108_4	5	1	25	4,4	3	jz_108_4	3	11	0	0	0	0	0	12	49	0	56100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60990	0	0	0	0	jz_108_4	0
51	10	building_jz_109_0	1	1	5	4,4	2	jz_109_0	3	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	jz_109_0	0
52	10	building_jz_109_1	2	1	10	4,4	2	jz_109_1	3	1	0	0	0	0	0	2	51	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	jz_109_1	0
53	10	building_jz_109_2	3	1	15	4,4	2	jz_109_2	3	3	0	0	0	0	0	4	52	0	2250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	jz_109_2	0
54	10	building_jz_109_3	4	1	20	4,4	2	jz_109_3	3	5	0	0	0	0	0	6	53	0	5670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37500	0	0	0	0	jz_109_3	0
55	10	building_jz_109_4	5	1	25	4,4	2	jz_109_4	3	7	0	0	0	0	0	8	54	0	14280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93750	0	0	0	0	jz_109_4	0
56	11	building_jz_110_0	1	10	0	4,4	5	jz_110_0	4	2	0	2*2	0	0	00:30:00	3	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	jz_110_0	0
57	12	building_jz_111_0	1	1	5	4,4	2	jz_111_0	2	1	0	0	0	0	0	2	0	0	400	0	0	0	0	0	0	0	0	item_001	20	0	0	0	0	300	0	0	0	0	jz_111_0	0
58	12	building_jz_111_1	2	1	10	4,4	2	jz_111_1	2	3	0	0	0	0	0	4	57	0	1200	0	0	0	0	0	0	0	0	item_001	50	0	0	0	0	3000	0	0	0	0	jz_111_1	0
59	12	building_jz_111_2	3	1	15	4,4	2	jz_111_2	2	5	0	0	0	0	0	6	58	0	3030	0	0	0	0	0	0	0	0	item_001	125	0	0	0	0	10200	0	0	0	0	jz_111_2	0
60	12	building_jz_111_3	4	1	20	4,4	2	jz_111_3	2	6	0	0	0	0	0	7	59	0	7620	0	0	0	0	0	0	0	0	item_001	313	0	0	0	0	25500	0	0	0	0	jz_111_3	0
61	12	building_jz_111_4	5	1	25	4,4	2	jz_111_4	2	7	0	0	0	0	0	8	60	0	19200	0	0	0	0	0	0	0	0	item_001	783	0	0	0	0	63750	0	0	0	0	jz_111_4	0
62	13	building_jz_112_0	1	1	12	4,4	2	jz_112_0	2	3	0	0	0	0	0	4	0	0	1100	0	0	0	0	0	0	0	0	item_001	35	0	0	0	0	600	0	0	0	0	jz_112_0	0
63	13	building_jz_112_1	2	1	16	4,4	2	jz_112_1	2	5	0	0	0	0	0	6	62	0	3350	0	0	0	0	0	0	0	0	item_001	88	0	0	0	0	8100	0	0	0	0	jz_112_1	0
64	13	building_jz_112_2	3	1	20	4,4	2	jz_112_2	2	8	0	0	0	0	0	9	63	0	8460	0	0	0	0	0	0	0	0	item_001	220	0	0	0	0	13500	0	0	0	0	jz_112_2	0
65	13	building_jz_112_3	4	1	25	4,4	2	jz_112_3	2	9	0	0	0	0	0	10	64	0	21360	0	0	0	0	0	0	0	0	item_001	550	0	0	0	0	33750	0	0	0	0	jz_112_3	0
66	13	building_jz_112_4	5	1	30	4,4	2	jz_112_4	2	12	0	0	0	0	0	13	65	0	54090	0	0	0	0	0	0	0	0	item_001	1375	0	0	0	0	84390	0	0	0	0	jz_112_4	0
67	14	building_jz_113_0	1	1	5	4,4	2	jz_113_0	2	2	0	0	0	0	0	3	0	0	800	0	0	0	0	0	0	0	0	item_001	30	0	0	0	0	450	0	0	0	0	jz_113_0	0
68	14	building_jz_113_1	2	1	8	4,4	2	jz_113_1	2	3	0	0	0	0	0	4	67	0	1250	0	0	0	0	0	0	0	0	item_001	75	0	0	0	0	1200	0	0	0	0	jz_113_1	0
69	14	building_jz_113_2	3	1	11	4,4	2	jz_113_2	2	4	0	0	0	0	0	5	68	0	2640	0	0	0	0	0	0	0	0	item_001	188	0	0	0	0	2100	0	0	0	0	jz_113_2	0
70	14	building_jz_113_3	4	1	15	4,4	2	jz_113_3	2	6	0	0	0	0	0	7	69	0	6120	0	0	0	0	0	0	0	0	item_001	470	0	0	0	0	4410	0	0	0	0	jz_113_3	0
71	14	building_jz_113_4	5	1	20	4,4	2	jz_113_4	2	7	0	0	0	0	0	8	70	0	14190	0	0	0	0	0	0	0	0	item_001	1175	0	0	0	0	10140	0	0	0	0	jz_113_4	0
72	14	building_jz_113_5	6	1	24	4,4	2	jz_113_5	2	9	0	0	0	0	0	1	71	0	32670	0	0	0	0	0	0	0	0	item_001	2938	0	0	0	0	23310	0	0	0	0	jz_113_5	0
73	14	building_jz_113_6	7	1	28	4,4	2	jz_113_6	2	11	0	0	0	0	0	12	72	0	76050	0	0	0	0	0	0	0	0	item_001	7345	0	0	0	0	53610	0	0	0	0	jz_113_6	0
74	14	building_jz_113_7	8	1	33	4,4	2	jz_113_7	2	13	0	0	0	0	0	14	73	0	177360	0	0	0	0	0	0	0	0	item_001	18363	0	0	0	0	123300	0	0	0	0	jz_113_7	0
75	15	building_jz_114_0	1	1	5	4,4	2	jz_114_0	2	3	0	0	0	0	0	4	0	0	1080	0	0	0	0	0	0	0	0	item_001	45908	0	0	0	0	900	0	0	0	0	jz_114_0	0
76	15	building_jz_114_1	2	1	10	4,4	2	jz_114_1	2	4	0	0	0	0	0	5	75	0	3600	0	0	0	0	0	0	0	0	item_001	114770	0	0	0	0	2400	0	0	0	0	jz_114_1	0
77	15	building_jz_114_2	3	1	15	4,4	2	jz_114_2	2	6	0	0	0	0	0	7	76	0	7800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0	0	0	0	jz_114_2	0
78	15	building_jz_114_3	4	1	20	4,4	2	jz_114_3	2	9	0	0	0	0	0	10	77	0	22050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	0	0	0	0	jz_114_3	0
79	15	building_jz_114_4	5	1	25	4,4	2	jz_114_4	2	11	0	0	0	0	0	12	78	0	62490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50400	0	0	0	0	jz_114_4	0
80	16	building_jz_115_0	1	1	6	4,4	2	jz_115_0	2	3	0	0	0	0	0	4	0	0	1000	0	0	0	0	0	0	0	0	item_001	33	0	0	0	0	840	0	0	0	0	jz_115_0	0
81	16	building_jz_115_1	2	1	10	4,4	2	jz_115_1	2	5	0	0	0	0	0	6	80	0	3150	0	0	0	0	0	0	0	0	item_001	83	0	0	0	0	3000	0	0	0	0	jz_115_1	0
82	16	building_jz_115_2	3	1	14	4,4	2	jz_115_2	2	7	0	0	0	0	0	8	81	0	12390	0	0	0	0	0	0	0	0	item_001	208	0	0	0	0	9600	0	0	0	0	jz_115_2	0
83	16	building_jz_115_3	4	1	18	4,4	2	jz_115_3	2	10	0	0	0	0	0	11	82	0	48840	0	0	0	0	0	0	0	0	item_001	520	0	0	0	0	37440	0	0	0	0	jz_115_3	0
84	16	building_jz_115_4	5	1	23	4,4	2	jz_115_4	2	13	0	0	0	0	0	14	83	0	158490	0	0	0	0	0	0	0	0	item_001	1300	0	0	0	0	146010	0	0	0	0	jz_115_4	0
85	17	building_jz_116_0	1	1	5	4,4	2	jz_116_0	2	2	0	0	0	0	0	3	0	0	780	0	0	0	0	0	0	0	0	item_001	26	0	0	0	0	300	0	0	0	0	jz_116_0	0
86	17	building_jz_116_1	2	1	11	4,4	2	jz_116_1	2	4	0	0	0	0	0	5	85	0	2600	0	0	0	0	0	0	0	0	item_001	65	0	0	0	0	2400	0	0	0	0	jz_116_1	0
87	17	building_jz_116_2	3	1	15	4,4	2	jz_116_2	2	7	0	0	0	0	0	8	86	0	8610	0	0	0	0	0	0	0	0	item_001	163	0	0	0	0	9000	0	0	0	0	jz_116_2	0
88	17	building_jz_116_3	4	1	21	4,4	2	jz_116_3	2	10	0	0	0	0	0	11	87	0	31110	0	0	0	0	0	0	0	0	item_001	408	0	0	0	0	29700	0	0	0	0	jz_116_3	0
89	17	building_jz_116_4	5	1	26	4,4	2	jz_116_4	2	13	0	0	0	0	0	14	88	0	121950	0	0	0	0	0	0	0	0	item_001	1020	0	0	0	0	106920	0	0	0	0	jz_116_4	0
90	18	building_jz_117_0	1	1	10	4,4	2	jz_117_0	2	4	0	0	0	0	0	5	0	0	2500	0	0	0	0	0	0	0	0	item_001	40	0	0	0	0	2500	0	0	0	0	jz_117_0	0
91	18	building_jz_117_1	2	1	14	4,4	2	jz_117_1	2	6	0	0	0	0	0	7	90	0	7500	0	0	0	0	0	0	0	0	item_001	100	0	0	0	0	6600	0	0	0	0	jz_117_1	0
92	18	building_jz_117_2	3	1	19	4,4	2	jz_117_2	2	9	0	0	0	0	0	10	91	0	22740	0	0	0	0	0	0	0	0	item_001	250	0	0	0	0	15000	0	0	0	0	jz_117_2	0
93	18	building_jz_117_3	4	1	24	4,4	2	jz_117_3	2	12	0	0	0	0	0	13	92	0	69120	0	0	0	0	0	0	0	0	item_001	625	0	0	0	0	45000	0	0	0	0	jz_117_3	0
94	18	building_jz_117_4	5	1	30	4,4	2	jz_117_4	2	14	0	0	0	0	0	15	93	0	175380	0	0	0	0	0	0	0	0	item_001	1563	0	0	0	0	135000	0	0	0	0	jz_117_4	0
95	19	building_jz_118_0	1	1	5	4,4	2	jz_118_0	2	3	0	0	0	0	0	4	0	0	1100	0	0	0	0	0	0	0	0	item_001	32	0	0	0	0	800	0	0	0	0	jz_118_0	0
96	19	building_jz_118_1	2	1	8	4,4	2	jz_118_1	2	6	0	0	0	0	0	7	95	0	7600	0	0	0	0	0	0	0	0	item_001	80	0	0	0	0	6000	0	0	0	0	jz_118_1	0
97	19	building_jz_118_2	3	1	12	4,4	2	jz_118_2	2	8	0	0	0	0	0	9	96	0	18390	0	0	0	0	0	0	0	0	item_001	200	0	0	0	0	15000	0	0	0	0	jz_118_2	0
98	19	building_jz_118_3	4	1	15	4,4	2	jz_118_3	2	11	0	0	0	0	0	12	97	0	55830	0	0	0	0	0	0	0	0	item_001	500	0	0	0	0	36000	0	0	0	0	jz_118_3	0
99	19	building_jz_118_4	5	1	20	4,4	2	jz_118_4	2	13	0	0	0	0	0	14	98	0	152850	0	0	0	0	0	0	0	0	item_001	1250	0	0	0	0	108000	0	0	0	0	jz_118_4	0
100	20	building_jz_119_0	1	1	10	4,4	2	jz_119_0	2	5	0	0	0	0	0	6	0	0	3000	0	0	0	0	0	0	0	0	item_001	60	0	0	0	0	2800	0	0	0	0	jz_119_0	0
101	20	building_jz_119_1	2	1	12	4,4	2	jz_119_1	2	6	0	0	0	0	0	7	100	0	7600	0	0	0	0	0	0	0	0	item_001	150	0	0	0	0	7200	0	0	0	0	jz_119_1	0
102	20	building_jz_119_2	3	1	15	4,4	2	jz_119_2	2	9	0	0	0	0	0	10	101	0	19200	0	0	0	0	0	0	0	0	item_001	375	0	0	0	0	18000	0	0	0	0	jz_119_2	0
103	20	building_jz_119_3	4	1	18	4,4	2	jz_119_3	2	10	0	0	0	0	0	11	102	0	48540	0	0	0	0	0	0	0	0	item_001	938	0	0	0	0	45000	0	0	0	0	jz_119_3	0
104	20	building_jz_119_4	5	1	21	4,4	2	jz_119_4	2	13	0	0	0	0	0	14	103	0	123060	0	0	0	0	0	0	0	0	item_001	2345	0	0	0	0	112500	0	0	0	0	jz_119_4	0
105	21	building_jz_120_0	1	1	10	4,4	2	jz_120_0	2	2	0	0	0	0	0	3	0	0	800	0	0	0	0	0	0	0	0	item_001	21	0	0	0	0	750	0	0	0	0	jz_120_0	0
106	21	building_jz_120_1	2	1	13	4,4	2	jz_120_1	2	5	0	0	0	0	0	6	105	0	3100	0	0	0	0	0	0	0	0	item_001	53	0	0	0	0	3300	0	0	0	0	jz_120_1	0
107	21	building_jz_120_2	3	1	15	4,4	2	jz_120_2	2	7	0	0	0	0	0	8	106	0	7800	0	0	0	0	0	0	0	0	item_001	133	0	0	0	0	9000	0	0	0	0	jz_120_2	0
108	21	building_jz_120_3	4	1	19	4,4	2	jz_120_3	2	9	0	0	0	0	0	10	107	0	19710	0	0	0	0	0	0	0	0	item_001	333	0	0	0	0	22500	0	0	0	0	jz_120_3	0
109	21	building_jz_120_4	5	1	25	4,4	2	jz_120_4	2	10	0	0	0	0	0	11	108	0	49830	0	0	0	0	0	0	0	0	item_001	833	0	0	0	0	56250	0	0	0	0	jz_120_4	0
110	22	building_jz_121_0	1	1	9	4,4	2	jz_121_0	2	4	0	0	0	0	0	5	0	0	2400	0	0	0	0	0	0	0	0	item_001	42	0	0	0	0	2100	0	0	0	0	jz_121_0	0
111	22	building_jz_121_1	2	1	13	4,4	2	jz_121_1	2	5	0	0	0	0	0	6	110	0	3180	0	0	0	0	0	0	0	0	item_001	105	0	0	0	0	3000	0	0	0	0	jz_121_1	0
112	22	building_jz_121_2	3	1	16	4,4	2	jz_121_2	2	7	0	0	0	0	0	8	111	0	8010	0	0	0	0	0	0	0	0	item_001	263	0	0	0	0	7800	0	0	0	0	jz_121_2	0
113	22	building_jz_121_3	4	1	20	4,4	2	jz_121_3	2	9	0	0	0	0	0	10	112	0	20220	0	0	0	0	0	0	0	0	item_001	658	0	0	0	0	19500	0	0	0	0	jz_121_3	0
114	22	building_jz_121_4	5	1	24	4,4	2	jz_121_4	2	14	0	0	0	0	0	15	113	0	129300	0	0	0	0	0	0	0	0	item_001	1645	0	0	0	0	117000	0	0	0	0	jz_121_4	0
115	23	building_jz_122_0	1	1	5	4,4	2	jz_122_0	2	1	0	0	0	0	0	2	0	0	2000	0	0	0	0	0	0	0	0	item_001	18	0	0	0	0	1800	0	0	0	0	jz_122_0	0
116	23	building_jz_122_1	2	1	10	4,4	2	jz_122_1	2	6	0	0	0	0	0	7	115	0	8000	0	0	0	0	0	0	0	0	item_001	45	0	0	0	0	8100	0	0	0	0	jz_122_1	0
117	23	building_jz_122_2	3	1	15	4,4	2	jz_122_2	2	12	0	0	0	0	0	13	116	0	110000	0	0	0	0	0	0	0	0	item_001	113	0	0	0	0	120000	0	0	0	0	jz_122_2	0
118	24	building_jz_123_0	1	1	5	4,4	2	jz_123_0	2	2	0	0	0	0	0	3	0	0	720	0	0	0	0	0	0	0	0	item_001	20	0	0	0	0	720	0	0	0	0	jz_123_0	0
119	24	building_jz_123_1	2	1	10	4,4	2	jz_123_1	2	5	0	0	0	0	0	6	118	0	2970	0	0	0	0	0	0	0	0	item_001	50	0	0	0	0	3000	0	0	0	0	jz_123_1	0
120	24	building_jz_123_2	3	1	14	4,4	2	jz_123_2	2	7	0	0	0	0	0	8	119	0	7440	0	0	0	0	0	0	0	0	item_001	125	0	0	0	0	7500	0	0	0	0	jz_123_2	0
121	24	building_jz_123_3	4	1	19	4,4	2	jz_123_3	2	10	0	0	0	0	0	11	120	0	44820	0	0	0	0	0	0	0	0	item_001	313	0	0	0	0	30000	0	0	0	0	jz_123_3	0
122	24	building_jz_123_4	5	1	25	4,4	2	jz_123_4	2	14	0	0	0	0	0	15	121	0	148650	0	0	0	0	0	0	0	0	item_001	783	0	0	0	0	180000	0	0	0	0	jz_123_4	0
123	25	building_jz_124_0	1	1	7	4,4	2	jz_124_0	2	2	0	0	0	0	0	3	0	0	700	0	0	0	0	0	0	0	0	item_001	20	0	0	0	0	600	0	0	0	0	jz_124_0	0
124	25	building_jz_124_1	2	1	11	4,4	2	jz_124_1	2	4	0	0	0	0	0	5	123	0	2200	0	0	0	0	0	0	0	0	item_001	50	0	0	0	0	2000	0	0	0	0	jz_124_1	0
125	25	building_jz_124_2	3	1	15	4,4	2	jz_124_2	2	7	0	0	0	0	0	8	124	0	6660	0	0	0	0	0	0	0	0	item_001	125	0	0	0	0	6000	0	0	0	0	jz_124_2	0
